DIABLO A,20,CLOVIS,0
STANFORD A,15,ECA,2
680 RED A,13,CC UNITED BLACK A,4
COMMERCE,13,DAVIS WHITE,3
NEWPORT BEACH WHITE B,4,CHANNEL ISLANDS GOLD,11
SHAQ,4,LB SHORE AQUATICS,18
908,10,SOUTH COAST RED,4
LAMORINDA B,12,THUNDER,7
NEWPORT BEACH BLUE,20,PRAETORIAN,1
LAGUNA BEACH,15,PUNAHOU,0
GREENWICH,14,STANFORD B,0
LAMORINDA A,14,BROOKLYN HUSTLE,0
SAN CLEMENTE BLACK B,7,NORTH IRVINE,4
SANTA CRUZ,5,680 BLUE B,7
SD SHORES BLACK,12,HONOLULU,1
SOCAL,5,DEL MAR,4
PATRIOT NAVY,21,CHICAGO PARKS,1
SB 805 A,16,AMERICAN RIVER,3
NEXT GEN BLACK,16,ARROYO GRANDE,2
SAN CLEMENTE RED,12,SD SHORES GOLD,0
DAVIS BLUE,6,TSUNAMI,2
SAN JOSE EXPRESS,3,SB 805 B,4
BACK BAY,18,SEASIDE,2
LAMORINDA C,3,ROGUE 619,13
DIABLO A,13,CHANNEL ISLANDS GOLD,3
STANFORD A,4,LB SHORE AQUATICS,2
680 RED A,2,908,6
COMMERCE,7,LAMORINDA B,3
CLOVIS,0,NEWPORT BEACH WHITE B,15
ECA,12,SHAQ,13
CC UNITED BLACK A,4,SOUTH COAST RED,8
DAVIS WHITE,4,THUNDER,12
NEWPORT BEACH BLUE,13,SAN CLEMENTE BLACK B,1
LAGUNA BEACH,17,680 BLUE B,1
GREENWICH,8,SD SHORES BLACK,7
LAMORINDA A,14,SOCAL,2
PRAETORIAN,3,NORTH IRVINE,16
PUNAHOU,1,SANTA CRUZ,12
STANFORD B,2,HONOLULU,3
BROOKLYN HUSTLE,8,DEL MAR,16
PATRIOT NAVY,16,DAVIS BLUE,3
SB 805 A,6,SB 805 B,2
NEXT GEN BLACK,5,BACK BAY,4
SAN CLEMENTE RED,9,ROGUE 619,8
CHICAGO PARKS,5,TSUNAMI,8
AMERICAN RIVER,2,SAN JOSE EXPRESS,8
ARROYO GRANDE,13,SEASIDE,7
SD SHORES GOLD,6,LAMORINDA C,5
LB SHORE AQUATICS,9,NEWPORT BEACH WHITE B,2
CHANNEL ISLANDS GOLD,13,SHAQ,3
LAMORINDA B,4,SOUTH COAST RED,6
680 RED A,6,THUNDER,3
DAVIS BLUE,11,NORTH IRVINE,2
SB 805 B,12,SANTA CRUZ,4
BACK BAY,9,HONOLULU,1
