p_1,W192-SB 805 A
p_2,L192-NEWPORT BEACH BLUE
p_3,W191-LAMORINDA A
p_4,L191-PATRIOT
p_5,W186-908 YELLOW A
p_6,L186-SANTA CRUZ A
p_7,W185-DIABLO A
p_8,L185-680 RED A
p_9,W182-ODIN
p_10,L182-SOCAL BLACK
p_11,W181-CC UNITED
p_12,L181-SD SHORES
p_13,W178-SOUTH COAST RED
p_14,L178-NORTH IRVINE BLACK A
p_15,W177-SAN JOSE ALMADEN BLACK
p_16,L177-SHAQ BLUE A
p_17,W170-ARROYO GRANDE
p_18,L170-DEL MAR BLUE A
p_19,W169-ROSE BOWL RED A
p_20,L169-TSUNAMI
p_21,GREENWICH
p_22,CLOVIS A
p_23,CHANNEL ISLANDS GOLD
p_24,SAN CLEMENTE
g_25,W190-THUNDER
g_26,L190-LA PREMIER A
g_27,W189-STANFORD A
g_28,L189-NORCAL BLACK A
g_29,W187-ELSINORE
g_30,L187-NORCO
g_31,W188-DAVIS
g_32,L188-LA JOLLA
g_33,W183-SB 805 B
g_34,L183-LAMORINDA B
g_35,W184-CHAWP
g_36,L184-PRAETORIAN
g_37,W179-OAHU KAI
g_38,L179-OLYMPUS
g_39,W180-CHICAGO PARKS
g_40,L180-CAL REPUBLIC
g_41,W175-BULLDOG
g_42,L175-LOWPO
g_43,W176-LONGHORN
g_44,L176-NORTHWEST
g_45,CAPC
g_46,OAHU WAI
g_47,RAIN CITY
g_48,NIPC
s_49,W146-LB SHORE AQUATICS
s_50,L146-TEMPLE CITY
s_51,W145-PV WPC
s_52,L145-DIABLO B
s_53,W141-SOCAL GOLD B
s_54,L141-BIG EAST SELECT
s_55,W140-NEWPORT BEACH WHITE B
s_56,L140-SAN JOSE ALMADEN PINK
s_57,W138-LAMORINDA C
s_58,L138-FOOTHILL
s_59,W137-BACK BAY
s_60,L137-DEL MAR WHITE B
s_61,W135-SOUTHERN
s_62,L135-STANFORD B
s_63,W134-MONTEREY BAY
s_64,L134-A TOWN
s_65,W129-ROSE BOWL BLACK B
s_66,L129-ALAMEDA
s_67,W128-RIVERSIDE UNITED
s_68,L128-SEASIDE
s_69,VISALA UNITED
s_70,SAN JOSE EXPRESS
s_71,NORCAL TEAL
s_72,LA PREMIER B
b_73,W144-ELITE
b_74,L144-MID VALLEY
b_75,W143-680 BLUE B
b_76,L143-SHAQ WHITE B
b_77,L115-908 BLUE B
b_78,L118-BROOKLYN HUSTLE
b_79,L103-SANTA CRUZ B
b_80,L109-CLOVIS B
b_81,W139-SOUTH BAY UNITED
b_82,L139-BIG VALLEY
b_83,STANFORD C
