D1 - DIABLO,16,D4- CHAWP,0
D2 - STANFORD,11,D3 - NEWPORT WHITE,1
A1 - NEWPORT BLUE,15,A3- SOCAL BLACK,1
B1 - PATRIOT,13,B3 - TEMPLE CITY,0
WIN #1 - DIABLO,1.1,WIN #2 - STANFORD,1.0
E2 - LAGUNA BEACH,14,E3 - NORTH IRVINE,4
A1 - NEWPORT BLUE,17,A2 - DEL MAR,0
B2 - 908,16,B3 - TEMPLE CITY,2
LOSE #1 - CHAWP,7.2,LOSE #2 - NEWPORT WHITE,7.4
A2 - DEL MAR,6,A3- SOCAL BLACK,8
B1 - PATRIOT,7,B2 - 908,5
F2 - NGEN,9,F3 - TSUNAMI,1
C1 - SD SHORES,2,C2 - LAMORINDA,4
F1 - COMMERCE,4,F2 - NGEN,9
F1 - COMMERCE,13,F3 - TSUNAMI,5
C1 - SD SHORES,10,C3 - ROSE BOWL,5
E1 - 805,6,E4 - DAVIS,1
C2 - LAMORINDA,10,C3 - ROSE BOWL,2
WIN #3 - 805,9,WIN #4 - LAGUNA BEACH,1
LOSE #3 - DAVIS,11,LOSE #4 - NORTH IRVINE,5
G1(1stA) - NEWPORT BLUE,14,G2(2ndB) - 908,1
J1(1stB) - PATRIOT,6,J2(2ndA) - SOCAL BLACK,5
K1(1stC) - LAMORINDA,4,K2(2ndD) - STANFORD,2
H1(1stD) - DIABLO,9,H2(2ndC) - SD SHORES,6
L1(1stF) - NGEN,11,L2(2ndE) - LAGUNA BEACH,3
U1-(2nd G) - 908,3,U3-(2nd I) - COMMERCE,2
S1-(1st G) - NEWPORT BLUE,13,S3-(1st I) - 805,3
T1-(1st J) - PATRIOT,8.1,T3-(1st L) - NGEN,8.2
V1-(2nd J) - SOCAL BLACK,2,V3-(2nd L) - LAGUNA BEACH,6
U2-(2nd H) - SD SHORES,13,U3-(2nd I) - COMMERCE,3
S2-(1st H) - DIABLO,3,S3-(1st I) - 805,4
T2-(1st K) - LAMORINDA,4,T3-(1st L) - NGEN,3
V2-(2nd K) - STANFORD,3.3,V3-(2nd L) - LAGUNA BEACH,3.0
N1-(3rdB) - TEMPLE CITY,5,N4-(4thD) - CHAWP,7
N2-(3rdC) - ROSE BOWL,6,N3-(3rdE) - DAVIS,5
M1-(3rdA) - DEL MAR,6,M3-(3rdF) - TSUNAMI,1
M2-(3rdD) - NEWPORT WHITE,7,M4-(4thE) - NORTH IRVINE,4
N1-(3rdB) - TEMPLE CITY,1,N3-(3rdE) - DAVIS,13
N2-(3rdC) - ROSE BOWL,11,N4-(4thD) - CHAWP,5
M1-(3rdA) - DEL MAR,8,M4-(4thE) - NORTH IRVINE,9
M2-(3rdD) - NEWPORT WHITE,7,M3-(3rdF) - TSUNAMI,4
I1(1stE) - 805,9,I2(2ndF) - COMMERCE,8
S1-(1st G) - NEWPORT BLUE,10,S2-(1st H) - DIABLO,2
T1-(1st J) - PATRIOT,2,T2-(1st K) - LAMORINDA,9
U1-(2nd G) - 908,4.1,U2-(2nd H) - SD SHORES,4.2
V1-(2nd J) - SOCAL BLACK,1,V2-(2nd K) - STANFORD,11
CC1-(3rd S) - DIABLO,6,CC2-(3rd T) - PATRIOT,3
DD1-(1st U) - SD SHORES,0,DD2-(1st V) - STANFORD,7
EE1-(2nd U) - 908,9,EE2-(2nd V) - LAGUNA BEACH,6
FF1-(3rd U) - COMMERCE,11,FF2-(3rd V) - SOCAL BLACK,3
BB1-(2nd S) - 805,3,BB2-(2nd T) - NGEN,9
AA1-(1st S) - NEWPORT BLUE,8,AA2-(1st T) - LAMORINDA,2
M1-(3rdA) - DEL MAR,6,M2-(3rdD) - NEWPORT WHITE,3
M3-(3rdF) - TSUNAMI,2,M4-(4thE) - NORTH IRVINE,4
N1-(3rdB) - TEMPLE CITY,3,N2-(3rdC) - ROSE BOWL,15
N3-(3rdE) - DAVIS,13,N4-(4thD) - CHAWP,3
M1-(3rdA) - DEL MAR,0,W2-(1st N) - ROSE BOWL,14
Y1-(2nd M) - NEWPORT WHITE,3,Y2-(2nd N) - DAVIS,7
X1-(3rd M) - NORTH IRVINE,3,X2-(3rd N) - CHAWP,5
O1-(4th M) - TSUNAMI,8,O2-(4th N) - TEMPLE CITY,4
