A1- DIABLO A,20,A3- 680 BLUE B,2
D1- 680 RED A,22,D4- CC UNITED BLUE B,0
D2- LAMORINDA B,15,D3- STANFORD B,1
A2- SANTA CRUZ,3,A3- 680 BLUE B,4
B1- LAMORINDA A,17,B3- CC UNITED BLACK A,0
C1- STANFORD A,16,C4- BURLINGAME,0
C2- SHAQ,11,C3- LAMORINDA C,10
B2- SAN JOSE EXPRESS,8,B3- CC UNITED BLACK A,0
L#3- CC UNITED BLUE B,1,L#5- STANFORD B,14
L#4- BURLINGAME,3,L#6- LAMORINDA C,17
A1- DIABLO A,17,A2- SANTA CRUZ,0
B1- LAMORINDA A,11,B2- SAN JOSE EXPRESS,0
W#3- 680 RED A,4,W#5- LAMORINDA B,2
W#4- STANFORD A,14,W#6- SHAQ,0
3rdA- SANTA CRUZ,13,3rdD(W#9)- STANFORD B,4
3rdB- CC UNITED BLACK A,3,3rdC(W#10)- LAMORINDA C,8
G1(2ndD)(L#13)- LAMORINDA B,7,G2(2ndA)- 680 BLUE B,1
H1(2ndC)(L#14)- SHAQ,1,H2(2ndB)- SAN JOSE EXPRESS,9
E1(1stA)- DIABLO A,9,E4(1stD)(W#13)- 680 RED A,0
F1(4thC)(L#10)- BURLINGAME,4,F3(L#15)- STANFORD B,15
E2(1stB)- LAMORINDA A,2.0,E3(1stC)(W#14)- STANFORD A,2.1
F2(4thD)(L#9)- CC UNITED BLUE B,1,F4(L#16)- CC UNITED BLACK A,17
G1(2ndD)(L#13)- LAMORINDA B,12,G3(W#15)- SANTA CRUZ,1
H1(2ndC)(L#14)- SHAQ,9,H3(W#16)- LAMORINDA C,10
G2(2ndA)- 680 BLUE B,5,G3(W#15)- SANTA CRUZ,7
H2(2ndB)- SAN JOSE EXPRESS,3,H3(W#16)- LAMORINDA C,4
L#21- BURLINGAME,17,L#22- CC UNITED BLUE B,7
W#21- STANFORD B,2.2,W#22- CC UNITED BLACK A,2.1
3rd in G- 680 BLUE B,9,3rd in H- SHAQ,12
1st in G- LAMORINDA B,11,2nd in H- SAN JOSE EXPRESS,1
1st in H- LAMORINDA C,10,2nd in G- SANTA CRUZ,4
L#19- 680 RED A,2,L#20- LAMORINDA A,8
W#19- DIABLO A,2,W#20- STANFORD A,0
L#30- SAN JOSE EXPRESS,11,L#31- SANTA CRUZ,4
W#30- LAMORINDA B,10,W#31- LAMORINDA C,8
