THUNDER,13,LA PREMIER A,12
STANFORD A,14,NORCAL BLACK A,9
NORTHWEST,8,LONGHORN,9
BULLDOG,11,LOWPO,3
NEWPORT BEACH BLUE,7,SB 805 A,9
CAL REPUBLIC,2,CHICAGO PARKS,14
ROSE BOWL RED A,9,TSUNAMI,8
908 YELLOW A,9,SANTA CRUZ A,8
LAMORINDA A,5,PATRIOT,4
DIABLO A,4.2,680 RED A,4.0
OAHU KAI,7,OLYMPUS,3
DEL MAR BLUE A,4,ARROYO GRANDE,7
PRAETORIAN,3,CHAWP,11
SHAQ BLUE A,11,SAN JOSE ALMADEN BLACK,12
LA PREMIER A,11,NORCAL BLACK A,5
LAMORINDA B,5,SB 805 B,7
SAN CLEMENTE,6,CHANNEL ISLANDS GOLD,10
THUNDER,13,STANFORD A,11
LA JOLLA,5,DAVIS,7
ODIN,13,SOCAL BLACK,9
GREENWICH,11,CLOVIS A,9
NORCO,5,ELSINORE,7
CC UNITED,9,SD SHORES,7
PATRIOT,1,SB 805 A,9
NIPC,11,CAPC,15
SOUTH COAST RED,7,NORTH IRVINE BLACK A,5
NEWPORT BEACH BLUE,9,LAMORINDA A,5
OAHU WAI,5.4,RAIN CITY,5.2
LONGHORN,6,LOWPO,11
NORCAL BLACK A,7,ELSINORE,5
TSUNAMI,8,ARROYO GRANDE,12
SB 805 A,14,SANTA CRUZ A,5
OLYMPUS,16,CHICAGO PARKS,9
STANFORD A,8,NORCO,2
NORTH IRVINE BLACK A,15,SAN JOSE ALMADEN BLACK,14
LAMORINDA A,7,908 YELLOW A,3
BULLDOG,19,NORTHWEST,5
SB 805 B,12,CHAWP,2
ROSE BOWL RED A,9,DEL MAR BLUE A,15
SD SHORES,3,SOCAL BLACK,7
CAL REPUBLIC,2,OAHU KAI,14
LAMORINDA B,7,PRAETORIAN,2
SOUTH COAST RED,14,SHAQ BLUE A,11
ODIN,11,CC UNITED,6
OAHU WAI,14,NIPC,5
ELSINORE,7.3,DAVIS,7.0
GREENWICH,14,SAN CLEMENTE,7
680 RED A,4,SANTA CRUZ A,9
RAIN CITY,6,CAPC,14
NORCO,8,LA JOLLA,7
CLOVIS A,12,CHANNEL ISLANDS GOLD,4
DIABLO A,5,908 YELLOW A,6
CHICAGO PARKS,12,LONGHORN,4
THUNDER,12,NORCAL BLACK A,8
TSUNAMI,7,SAN JOSE ALMADEN BLACK,13
NEWPORT BEACH BLUE,5,SB 805 A,4
OLYMPUS,10,LOWPO,2
STANFORD A,9,LA PREMIER A,11
ARROYO GRANDE,7,NORTH IRVINE BLACK A,11
PATRIOT,7.6,LAMORINDA A,7.5
OAHU KAI,6,BULLDOG,3
SB 805 B,4,DAVIS,5
ROSE BOWL RED A,9.6,SHAQ BLUE A,9.7
SANTA CRUZ A,15,SD SHORES,4
NORTHWEST,5,CAL REPUBLIC,9
ELSINORE,8,CHAWP,5
DEL MAR BLUE A,9,SOUTH COAST RED,13
680 RED A,9,SOCAL BLACK,6
OAHU WAI,10,CAPC,15
LAMORINDA B,5,LA JOLLA,6
GREENWICH,10,CHANNEL ISLANDS GOLD,9
ODIN,8,908 YELLOW A,9
RAIN CITY,15,NIPC,7
PRAETORIAN,4,NORCO,9
CLOVIS A,9,SAN CLEMENTE,8
DIABLO A,8,CC UNITED,2
CHAWP,4,OAHU KAI,3
CHICAGO PARKS,8,NORCO,13
LA JOLLA,14,NORTHWEST,4
DEL MAR BLUE A,7,908 YELLOW A,10
SOCAL BLACK,13,ROSE BOWL RED A,10
OLYMPUS,6,DAVIS,15
ARROYO GRANDE,5,SD SHORES,6
TSUNAMI,6,CC UNITED,9
SB 805 B,10,LA JOLLA,3
SAN JOSE ALMADEN BLACK,4,908 YELLOW A,16
CHAWP,7,NORCAL BLACK A,9
GREENWICH,10,ROSE BOWL RED A,12
LAMORINDA B,14,OLYMPUS,5
SD SHORES,10,SHAQ BLUE A,7
ELSINORE,5,LA PREMIER A,8
CLOVIS A,6,SOUTH COAST RED,11
NIPC,9,NORTHWEST,12
PATRIOT,13,DEL MAR BLUE A,6
OAHU WAI,1,OAHU KAI,12
SOCAL BLACK,6,SB 805 A,10
CAPC,5,DAVIS,18
NEWPORT BEACH BLUE,13,ARROYO GRANDE,3
RAIN CITY,8,NORCO,20
LAMORINDA A,7,680 RED A,3
SB 805 B,5,STANFORD A,8
SAN CLEMENTE,4,908 YELLOW A,21
CHAWP,6,PRAETORIAN,8
NORTH IRVINE BLACK A,9,ROSE BOWL RED A,13
LAMORINDA B,7,THUNDER,8
CHANNEL ISLANDS GOLD,2,SHAQ BLUE A,4
ELSINORE,11,CHICAGO PARKS,3
CC UNITED,9,SOUTH COAST RED,6
LONGHORN,9,NORTHWEST,13
PATRIOT,12,SANTA CRUZ A,9
LOWPO,2,OAHU KAI,10
SOCAL BLACK,6,DIABLO A,11
BULLDOG,4,DAVIS,11
NEWPORT BEACH BLUE,12,ODIN,4
CAL REPUBLIC,2,NORCO,15
LAMORINDA A,12,TSUNAMI,5
LA JOLLA,6,STANFORD A,11
SAN CLEMENTE,4,SAN JOSE ALMADEN BLACK,15
NORCAL BLACK A,10,PRAETORIAN,3
NORTH IRVINE BLACK A,11,GREENWICH,7
OLYMPUS,7,THUNDER,9
CHANNEL ISLANDS GOLD,10.4,SD SHORES,10.3
LA PREMIER A,11,CHICAGO PARKS,1
CC UNITED,8,CLOVIS A,5
LONGHORN,12,NIPC,7
DEL MAR BLUE A,6,SANTA CRUZ A,12
SB 805 A,10,DIABLO A,5
BULLDOG,14,CAPC,7
ARROYO GRANDE,7,ODIN,10
LOWPO,6,OAHU WAI,2
CAL REPUBLIC,8,RAIN CITY,7
680 RED A,10,TSUNAMI,2
CHANNEL ISLANDS GOLD,10,PRAETORIAN,2
GREENWICH,11,OLYMPUS,6
LA PREMIER A,8,SAN JOSE ALMADEN BLACK,10
SOUTH COAST RED,9,SB 805 B,6
SAN CLEMENTE,9,CHICAGO PARKS,2
CLOVIS A,8,LA JOLLA,5
NORCAL BLACK A,6,SD SHORES,14
LAMORINDA B,9,ROSE BOWL RED A,11
STANFORD A,3,CC UNITED,6
NORTH IRVINE BLACK A,13,THUNDER,4
SHAQ BLUE A,9,CHAWP,8
908 YELLOW A,15,ELSINORE,4
LONGHORN,2,PRAETORIAN,10
RAIN CITY,3,OLYMPUS,8
CAPC,4,SAN JOSE ALMADEN BLACK,17
SB 805 B,7,OAHU KAI,4
SAN CLEMENTE,1,DIABLO A,15
ARROYO GRANDE,5,CLOVIS A,4
680 RED A,19,NORCAL BLACK A,2
PATRIOT,18,LAMORINDA B,9
CHICAGO PARKS,12,BULLDOG,10
OAHU WAI,0,LA JOLLA,7
NIPC,3,SD SHORES,14
ROSE BOWL RED A,15,NORCO,11
CHANNEL ISLANDS GOLD,7.3,TSUNAMI,7.4
DEL MAR BLUE A,12,GREENWICH,5
SB 805 A,6,LA PREMIER A,1
NEWPORT BEACH BLUE,22,SOUTH COAST RED,3
LOWPO,2,CC UNITED,11
CAL REPUBLIC,4,THUNDER,10
NORTHWEST,5,CHAWP,20
ELSINORE,11,DAVIS,6
NORTH IRVINE BLACK A,6,SANTA CRUZ A,10
ODIN,10.8,STANFORD A,10.7
SOCAL BLACK,8.5,908 YELLOW A,8.3
LAMORINDA A,12,SHAQ BLUE A,1
DIABLO A,17,PRAETORIAN,0
CLOVIS A,13,OLYMPUS,3
SAN JOSE ALMADEN BLACK,13,NORCAL BLACK A,14
LAMORINDA B,4,OAHU KAI,2
SAN CLEMENTE,14,LONGHORN,2
ARROYO GRANDE,9,RAIN CITY,6
680 RED A,19,CAPC,4
PATRIOT,14,SB 805 B,8
TSUNAMI,6,BULLDOG,3
GREENWICH,11,LA JOLLA,1
SD SHORES,11,LA PREMIER A,13
NORCO,8,SOUTH COAST RED,11
CHANNEL ISLANDS GOLD,11,CHICAGO PARKS,7
DEL MAR BLUE A,19,OAHU WAI,0
SB 805 A,15,NIPC,0
NEWPORT BEACH BLUE,18,ROSE BOWL RED A,7
SANTA CRUZ A,16,CC UNITED,7
STANFORD A,8.2,THUNDER,8.0
908 YELLOW A,21,CHAWP,1
DAVIS,9,SHAQ BLUE A,11
NORTH IRVINE BLACK A,11,LOWPO,4
ODIN,24,CAL REPUBLIC,3
SOCAL BLACK,21,NORTHWEST,2
LAMORINDA A,13,ELSINORE,1
NEWPORT BEACH WHITE B,15,MONTEREY BAY,9
FOOTHILL,8.4,SHAQ WHITE B,8.2
TEMPLE CITY,13,SANTA CRUZ B,6
BACK BAY,10,ALAMEDA,4
LB SHORE AQUATICS,17,BIG VALLEY,2
LA PREMIER B,15,NORCAL TEAL,7
PV WPC,11,SAN JOSE EXPRESS,6
ELITE,9.4,680 BLUE B,9.5
SEASIDE,13,STANFORD C,3
SOCAL GOLD B,18,BROOKLYN HUSTLE,2
DEL MAR WHITE B,11,VISALA UNITED,5
MID VALLEY,12,SANTA CRUZ B,6
SOUTH BAY UNITED,4,MONTEREY BAY,17
A TOWN,7,SHAQ WHITE B,6
RIVERSIDE UNITED,14,NORCAL TEAL,2
CLOVIS B,4,ALAMEDA,8
DIABLO B,14,BIG VALLEY,3
SOUTHERN,4,LAMORINDA C,7
908 BLUE B,5,SAN JOSE EXPRESS,8
SAN JOSE ALMADEN PINK,10,680 BLUE B,5
ROSE BOWL BLACK B,12,STANFORD C,3
BIG EAST SELECT,15,BROOKLYN HUSTLE,5
STANFORD B,5,VISALA UNITED,10
TEMPLE CITY,19,MID VALLEY,9
NEWPORT BEACH WHITE B,16,SOUTH BAY UNITED,0
FOOTHILL,13,A TOWN,5
LA PREMIER B,7,RIVERSIDE UNITED,9
BACK BAY,10,CLOVIS B,6
LB SHORE AQUATICS,9,DIABLO B,1
SEASIDE,4,ROSE BOWL BLACK B,5
PV WPC,15,908 BLUE B,6
ELITE,8,SAN JOSE ALMADEN PINK,13
SOCAL GOLD B,10,BIG EAST SELECT,5
DEL MAR WHITE B,8,STANFORD B,7
MID VALLEY,9.2,NORCAL TEAL,9.3
MONTEREY BAY,16,CLOVIS B,6
A TOWN,14,BIG VALLEY,2
LA PREMIER B,11,SANTA CRUZ B,9
ALAMEDA,9,SOUTH BAY UNITED,1
DIABLO B,5,SHAQ WHITE B,4
SOUTHERN,9,STANFORD C,3
SAN JOSE EXPRESS,10,BROOKLYN HUSTLE,5
680 BLUE B,6,STANFORD B,10
BIG EAST SELECT,11,908 BLUE B,8
VISALA UNITED,11,ELITE,9
DEL MAR WHITE B,6,ROSE BOWL BLACK B,5
SHAQ WHITE B,8,SANTA CRUZ B,4
SAN JOSE ALMADEN PINK,7,LAMORINDA C,8
LA PREMIER B,2,DIABLO B,9
CLOVIS B,8,908 BLUE B,14
NORCAL TEAL,3,A TOWN,12
LB SHORE AQUATICS,13,RIVERSIDE UNITED,5
BIG VALLEY,1,MID VALLEY,17
FOOTHILL,8,TEMPLE CITY,20
SEASIDE,8,VISALA UNITED,6
SOUTHERN,8,STANFORD B,7
680 BLUE B,9,STANFORD C,0
SOCAL GOLD B,9,ROSE BOWL BLACK B,3
PV WPC,11,LAMORINDA C,5
BROOKLYN HUSTLE,4,ELITE,12
LA PREMIER B,6,ALAMEDA,7
NORCAL TEAL,0,MONTEREY BAY,9
BACK BAY,6,RIVERSIDE UNITED,4
SOUTH BAY UNITED,5.3,SANTA CRUZ B,5.5
NEWPORT BEACH WHITE B,7,TEMPLE CITY,9
SEASIDE,3,BIG EAST SELECT,10
908 BLUE B,12,MID VALLEY,10
SOUTHERN,4.2,SAN JOSE EXPRESS,4.1
SOCAL GOLD B,8,DEL MAR WHITE B,7
CLOVIS B,12,BIG VALLEY,7
PV WPC,6,SAN JOSE ALMADEN PINK,2
DIABLO B,7,ALAMEDA,0
A TOWN,10,MONTEREY BAY,6
680 BLUE B,9,ELITE,4
BACK BAY,5,LB SHORE AQUATICS,12
NEWPORT BEACH WHITE B,5,FOOTHILL,7
STANFORD C,10,BROOKLYN HUSTLE,9
VISALA UNITED,4,BIG EAST SELECT,8
STANFORD B,8,SAN JOSE EXPRESS,7
SOUTH BAY UNITED,8,SHAQ WHITE B,11
MID VALLEY,11,ELITE,9
ROSE BOWL BLACK B,2,DIABLO B,4
SAN JOSE ALMADEN PINK,10.4,A TOWN,10.2
RIVERSIDE UNITED,6,BIG EAST SELECT,10
NEWPORT BEACH WHITE B,7,SOUTHERN,2
DEL MAR WHITE B,5.3,SAN JOSE ALMADEN PINK,5.4
LA PREMIER B,10,SAN JOSE EXPRESS,11
SANTA CRUZ B,15,BIG VALLEY,6
FOOTHILL,8,BIG EAST SELECT,11
NORCAL TEAL,4,VISALA UNITED,7
CLOVIS B,11,STANFORD C,8
LAMORINDA C,6,DIABLO B,7
RIVERSIDE UNITED,6,MONTEREY BAY,12
BROOKLYN HUSTLE,10,SOUTH BAY UNITED,9
BACK BAY,6,NEWPORT BEACH WHITE B,7
ROSE BOWL BLACK B,7,STANFORD B,9
908 BLUE B,2,680 BLUE B,7
LB SHORE AQUATICS,13,PV WPC,6
SOUTHERN,6,ALAMEDA,3
TEMPLE CITY,9,SOCAL GOLD B,6
A TOWN,10,SEASIDE,9
