3-SOCAL,19,46-THIRD COAST,0
4-SB 805 B,10,45-DIABLO BLACK B,0
9-LEGACY,14,40-CHICAGO PARK,1
10-GREENWICH,14,39-SEASIDE,8
22-OAHU KAI,2,27-SHAQ BLUE A,5
21-ROSE BOWL RED A,6,28-LA JOLLA A,12
16-680 RED A,20,33-SHARKS,2
15-LAMORINDA A,16,34-AMERICAN RIVER BLUE,1
1-SB 805 A,16,48-TSUNAMI BLUE A,3
5-PATRIOT,14,44-NIPC,0
7-STANFORD A,13,42-RAIN CITY,3
11-CHANNEL ISLANDS GOLD,16,38-BAINBRIDGE,1
24-VIPER PIGEON,11,25-DAVIS,6
20-THUNDER,13,29-COLORADO,6
18-SET BLACK A,12,31-LAMORINDA B,8
14-NEWPORT BEACH,17,35-LYONS,2
2-REGENCY,19,47-COMMERCE,3
6-DIABLO RED A,15,43-PUGET SOUND,2
8-SD SHORES BLACK,13,41-ALAMO AREA,2
12-SOUTH COAST RED A,9,37-NORCAL BLACK A,8
23-CAL REPUBLIC BLACK,4,26-ODIN BLACK,8
19-LONG BEACH AF RED A,7,30-SANTA CRUZ BLACK A,6
17-ASPHALT GREEN,13,32-SAN JOES EXPRESS BLUE A,3
13-CLOVIS A,15,36-SKIP,7
SOCAL,13,SHAQ BLUE A,3
SB 805 B,13,LA JOLLA A,5
LEGACY,8,680 RED A,5
GREENWICH,4,LAMORINDA A,11
THIRD COAST,2,OAHU KAI,11
DIABLO BLACK B,4,ROSE BOWL RED A,11
CHICAGO PARK,3,SHARKS,8
SEASIDE,6,AMERICAN RIVER BLUE,5
SB 805 A,19,VIPER PIGEON,5
PATRIOT,6,THUNDER,5
STANFORD A,6,SET BLACK A,4
CHANNEL ISLANDS GOLD,7,NEWPORT BEACH,12
TSUNAMI BLUE A,7,DAVIS,5
NIPC,0,COLORADO,2
RAIN CITY,6,LAMORINDA B,9
BAINBRIDGE,9,LYONS,8
REGENCY,17,ODIN BLACK,4
DIABLO RED A,6,LONG BEACH AF RED A,4
SD SHORES BLACK,11,ASPHALT GREEN,6
SOUTH COAST RED A,4,CLOVIS A,13
COMMERCE,7,CAL REPUBLIC BLACK,8
